case_id,target_pool,program_text,operation_count,tide_phase,reef_zone,moon_window,spore_mass,branch_pct,plate_pct,free_pct,count_drift,count_splice,count_settle,count_graze,count_mutate,count_pulse,count_bleach,count_limit,operation_bin_private,mass_bin_private,structure_private
rsp_5b869a24a1e599,P0,SEED P2 BRANCH 22; SEED P3 PLATE 22; GRAZE P5 0.05 0.04; PULSE P4 SILT 4 0.02; SETTLE P4 0.10; SETTLE P3 0.04; MUTATE P3 0.20 0.02; SPLICE P3 P3 P4 20 0.40 0.00; GRAZE P2 0.22 0.18; DRIFT P4 P1 12 0.14; DRIFT P3 P4 16 0.14; SETTLE P1 0.30; SPLICE P2 P2 P1 10 0.75 0.10; SPLICE P1 P2 P3 10 0.40 0.10; MUTATE P3 0.13 0.02; DRIFT P2 P0 8 0.04; SPLICE P2 P5 P3 20 0.75 0.05; SPLICE P5 P5 P1 6 0.25 0.10; MUTATE P3 0.13 0.17; BLEACH P5 0.00 0.13; MUTATE P3 0.03 0.11; DRIFT P3 P3 3 0.00; SPLICE P0 P4 P2 14 0.40 0.05; SPLICE P4 P0 P1 20 0.25 0.00; SPLICE P3 P2 P5 20 0.40 0.00; DRIFT P1 P4 3 0.00; DRIFT P1 P0 8 0.04; BLEACH P1 0.00 0.13; DRIFT P0 P2 8 0.14; DRIFT P5 P3 12 0.09; BLEACH P5 0.04 0.00; SETTLE P1 0.10,32,ebb,fore_reef,full_moon,3.505128,25.502935,50.797514,23.699551,8,8,4,2,4,1,3,0,medium,low,bleach
rsp_b5163dfeee8263,P5,SEED P1 PLATE 11; SEED P5 FREE 7; MUTATE P3 0.20 0.06; DRIFT P5 P5 16 0.09; GRAZE P3 0.22 0.18; SETTLE P1 0.18; SPLICE P1 P2 P5 20 0.75 0.00; SPLICE P5 P1 P5 20 0.40 0.00; MUTATE P3 0.03 0.06; BLEACH P0 0.00 0.06; SETTLE P5 0.04; SETTLE P2 0.10; DRIFT P1 P4 12 0.00; GRAZE P2 0.05 0.10; GRAZE P4 0.00 0.18; MUTATE P0 0.07 0.02; SETTLE P4 0.18; BLEACH P1 0.09 0.06; PULSE P1 BRANCH 10 0.20; DRIFT P4 P4 3 0.09; DRIFT P1 P4 12 0.04; MUTATE P2 0.03 0.11; DRIFT P5 P3 12 0.09; PULSE P4 BRANCH 10 0.20,24,slack,crest,new_moon,0.0,0.0,0.0,0.0,5,2,4,3,4,2,2,0,short,empty,ordinary
rsp_a2022a31e4a242,P1,SEED P0 FREE 22; SEED P3 BRANCH 22; SEED P4 FREE 15; SEED P5 BRANCH 7; DRIFT P4 P3 12 0.04; MUTATE P4 0.07 0.06; SPLICE P5 P4 P1 20 0.60 0.10; MUTATE P0 0.20 0.06; SPLICE P1 P4 P0 20 0.25 0.10; MUTATE P3 0.20 0.17; GRAZE P0 0.22 0.18; GRAZE P0 0.05 0.10; DRIFT P3 P3 12 0.09; SETTLE P3 0.04; GRAZE P4 0.12 0.04; GRAZE P0 0.00 0.18; DRIFT P0 P2 3 0.09; BLEACH P4 0.00 0.24; SPLICE P3 P2 P5 14 0.60 0.10; DRIFT P4 P4 5 0.00; MUTATE P1 0.13 0.11; SPLICE P5 P4 P2 20 0.25 0.05; DRIFT P2 P2 8 0.14; PULSE P0 PLATE 10 0.02; SPLICE P0 P0 P4 6 0.25 0.10; SPLICE P4 P1 P2 20 0.60 0.10; PULSE P5 SILT 4 0.12; DRIFT P2 P4 5 0.00; PULSE P2 SILT 10 0.02; GRAZE P1 0.05 0.04; DRIFT P5 P3 5 0.04; PULSE P1 FREE 10 0.06; MUTATE P1 0.13 0.11; DRIFT P0 P0 5 0.14; SETTLE P1 0.10; GRAZE P3 0.12 0.04; SPLICE P2 P1 P2 14 0.25 0.05,37,slack,crest,full_moon,13.786018,6.848496,5.443449,87.708056,8,7,2,6,5,4,1,0,long,mid,pulse
rsp_805446a07952e4,P5,SEED P3 PLATE 22; SEED P0 BRANCH 30; DRIFT P3 P5 5 0.00; MUTATE P4 0.03 0.17; GRAZE P5 0.22 0.18; BLEACH P3 0.04 0.24; DRIFT P3 P4 3 0.00; SPLICE P4 P5 P4 6 0.25 0.00; SETTLE P0 0.18; GRAZE P3 0.22 0.18; SPLICE P0 P0 P4 14 0.60 0.00; DRIFT P3 P5 5 0.09; PULSE P4 PLATE 7 0.12; SPLICE P3 P3 P2 14 0.60 0.00; SETTLE P2 0.30; PULSE P2 PLATE 7 0.20; SPLICE P4 P2 P5 10 0.75 0.10; SETTLE P3 0.30; SPLICE P0 P3 P0 14 0.25 0.05; MUTATE P1 0.13 0.02; GRAZE P0 0.12 0.04; DRIFT P3 P4 5 0.00; SETTLE P3 0.10; BLEACH P1 0.04 0.06; DRIFT P0 P3 12 0.04; SETTLE P3 0.04; SETTLE P5 0.04; DRIFT P3 P1 3 0.14; PULSE P2 PLATE 7 0.20; MUTATE P3 0.07 0.02; SPLICE P3 P4 P3 14 0.60 0.05; PULSE P5 PLATE 7 0.06; PULSE P1 FREE 7 0.02; BLEACH P3 0.16 0.13,34,flood,fore_reef,quarter,9.528971,2.495064,70.47305,27.031886,6,6,6,3,3,5,3,0,medium,low,pulse
rsp_71b55fcd30b835,P3,SEED P3 FREE 7; SEED P4 PLATE 22; SEED P2 FREE 11; SEED P0 PLATE 15; SPLICE P2 P0 P3 10 0.40 0.05; DRIFT P2 P4 8 0.09; SPLICE P4 P4 P3 6 0.40 0.10; SPLICE P0 P0 P1 6 0.40 0.00; SPLICE P4 P1 P0 10 0.25 0.05; PULSE P5 PLATE 4 0.02; SETTLE P3 0.10; GRAZE P4 0.00 0.18; SETTLE P4 0.10; DRIFT P4 P0 3 0.04; DRIFT P0 P2 3 0.04; GRAZE P1 0.05 0.04; SPLICE P4 P4 P5 20 0.25 0.10; DRIFT P1 P3 5 0.14; SPLICE P4 P5 P3 14 0.60 0.10; GRAZE P1 0.12 0.04; SETTLE P0 0.18; LIMIT P3 52; SPLICE P3 P5 P0 10 0.75 0.00; PULSE P1 PLATE 10 0.06; DRIFT P0 P0 16 0.04; DRIFT P3 P4 5 0.09; DRIFT P0 P1 3 0.14; SETTLE P4 0.04; DRIFT P3 P3 3 0.09; SPLICE P3 P2 P5 6 0.40 0.00; GRAZE P2 0.22 0.18; GRAZE P1 0.22 0.10; DRIFT P2 P2 5 0.04,33,slack,fore_reef,quarter,0.88,0.0,0.0,0.0,9,8,4,5,0,2,0,1,medium,empty,splice
rsp_1dd2917b58e728,P3,SEED P0 FREE 7; SEED P3 FREE 11; SEED P5 BRANCH 15; BLEACH P0 0.00 0.06; MUTATE P0 0.07 0.17; SPLICE P0 P1 P3 14 0.60 0.00; GRAZE P4 0.22 0.18; PULSE P0 FREE 4 0.20; MUTATE P0 0.20 0.11; PULSE P2 SILT 4 0.02; MUTATE P2 0.20 0.17; MUTATE P0 0.13 0.02; SPLICE P1 P3 P5 20 0.40 0.00; SETTLE P0 0.10; SPLICE P0 P0 P2 20 0.40 0.10; PULSE P5 PLATE 4 0.12; SPLICE P0 P3 P5 6 0.75 0.10; DRIFT P5 P1 5 0.09; DRIFT P5 P3 5 0.04; BLEACH P0 0.04 0.00; DRIFT P2 P2 3 0.00; GRAZE P3 0.12 0.18; BLEACH P2 0.00 0.00; SETTLE P1 0.30; DRIFT P2 P0 12 0.14; PULSE P1 BRANCH 14 0.20; SPLICE P0 P0 P4 20 0.25 0.10; MUTATE P3 0.13 0.11; DRIFT P4 P0 12 0.14; LIMIT P2 18; SETTLE P1 0.30; LIMIT P1 26; DRIFT P3 P2 8 0.04; DRIFT P3 P1 12 0.09; SETTLE P0 0.10; PULSE P3 BRANCH 14 0.20; DRIFT P0 P4 12 0.04; GRAZE P1 0.00 0.10; SETTLE P1 0.10; DRIFT P2 P4 16 0.09,40,slack,fore_reef,new_moon,11.148288,66.518667,5.448466,28.032867,9,5,5,3,5,5,3,2,long,low,pulse
rsp_da926e199f463e,P5,SEED P0 PLATE 22; SEED P1 FREE 11; SEED P2 PLATE 22; DRIFT P1 P5 12 0.04; MUTATE P2 0.20 0.02; MUTATE P1 0.13 0.02; DRIFT P0 P5 16 0.09; MUTATE P0 0.07 0.17; PULSE P5 BRANCH 7 0.20; BLEACH P3 0.09 0.06; DRIFT P0 P4 5 0.14; DRIFT P0 P0 5 0.04; SPLICE P2 P4 P5 14 0.40 0.00; SETTLE P2 0.18; LIMIT P3 26; DRIFT P0 P5 16 0.04; DRIFT P5 P0 3 0.00; PULSE P4 BRANCH 7 0.20; SETTLE P5 0.10; SPLICE P2 P2 P0 6 0.40 0.05; SPLICE P0 P5 P0 6 0.75 0.05; SPLICE P0 P1 P0 14 0.25 0.00; DRIFT P0 P4 8 0.09; DRIFT P2 P1 3 0.14; MUTATE P2 0.07 0.02; PULSE P3 FREE 14 0.02; DRIFT P3 P4 5 0.00; SETTLE P1 0.04; DRIFT P1 P1 5 0.14; PULSE P5 FREE 14 0.12; DRIFT P5 P1 5 0.09; DRIFT P4 P2 3 0.09; GRAZE P4 0.05 0.18; DRIFT P5 P0 8 0.14,34,flood,crest,new_moon,1.023596,7.423534,8.768314,83.808151,13,4,3,1,4,4,1,1,medium,low,pulse
rsp_3dccd64f5af2cc,P0,SEED P3 FREE 22; SEED P0 BRANCH 11; SEED P1 FREE 22; SPLICE P0 P3 P4 6 0.60 0.00; DRIFT P4 P0 12 0.14; BLEACH P5 0.04 0.24; MUTATE P4 0.03 0.17; PULSE P1 PLATE 14 0.06; DRIFT P3 P4 5 0.00; SETTLE P3 0.04; PULSE P0 FREE 7 0.12; DRIFT P0 P1 16 0.04; BLEACH P0 0.09 0.24; PULSE P0 SILT 7 0.20; LIMIT P3 36; PULSE P1 FREE 4 0.02; SPLICE P3 P4 P2 6 0.60 0.00; PULSE P2 SILT 7 0.06; SETTLE P4 0.04; DRIFT P3 P1 16 0.00; PULSE P1 FREE 7 0.06; SPLICE P2 P5 P1 20 0.40 0.05; DRIFT P4 P3 8 0.14; GRAZE P1 0.05 0.00; BLEACH P2 0.09 0.13; MUTATE P2 0.13 0.06; MUTATE P2 0.20 0.17; PULSE P5 PLATE 14 0.02; DRIFT P5 P3 12 0.14; DRIFT P1 P4 5 0.00; MUTATE P1 0.20 0.02; GRAZE P4 0.00 0.04,32,ebb,fore_reef,new_moon,1.985994,3.738961,5.335675,90.925364,7,3,2,2,4,7,3,1,medium,low,pulse
rsp_09557b1357fc40,P3,SEED P0 BRANCH 15; SEED P3 PLATE 7; SEED P4 BRANCH 15; SEED P5 PLATE 15; GRAZE P1 0.12 0.10; DRIFT P0 P3 8 0.14; GRAZE P2 0.12 0.04; MUTATE P4 0.20 0.06; SETTLE P3 0.04; GRAZE P2 0.05 0.18; SETTLE P3 0.04; SPLICE P4 P1 P2 6 0.60 0.05; SETTLE P0 0.10; DRIFT P4 P4 5 0.14; DRIFT P2 P1 3 0.14; DRIFT P3 P2 16 0.04; GRAZE P2 0.12 0.00; DRIFT P0 P5 16 0.14; PULSE P3 BRANCH 10 0.02; SETTLE P5 0.10; PULSE P5 BRANCH 14 0.20; SPLICE P2 P0 P4 6 0.40 0.05; DRIFT P4 P4 3 0.00; MUTATE P4 0.20 0.17; MUTATE P2 0.20 0.17; DRIFT P0 P4 12 0.00; BLEACH P1 0.04 0.00; SPLICE P3 P5 P0 10 0.40 0.05; BLEACH P4 0.09 0.06; MUTATE P5 0.13 0.06; SPLICE P1 P2 P1 20 0.40 0.10; GRAZE P5 0.12 0.18; SETTLE P4 0.04; PULSE P3 SILT 10 0.20; SPLICE P2 P0 P2 20 0.60 0.10; SETTLE P1 0.30,36,slack,fore_reef,full_moon,13.00992,3.17956,6.094157,90.726283,7,5,6,5,4,3,2,0,long,mid,pulse
rsp_b5724a9fb2d7c5,P0,SEED P2 PLATE 30; SEED P0 BRANCH 30; SEED P1 FREE 22; SPLICE P1 P4 P5 14 0.60 0.05; GRAZE P1 0.00 0.00; GRAZE P2 0.22 0.04; SETTLE P4 0.10; DRIFT P1 P5 3 0.14; DRIFT P4 P3 12 0.04; DRIFT P2 P2 16 0.00; DRIFT P2 P3 12 0.09; DRIFT P3 P0 5 0.04; SETTLE P1 0.18; SPLICE P3 P4 P0 6 0.75 0.10; SETTLE P0 0.04; GRAZE P1 0.12 0.10; BLEACH P5 0.04 0.06; SPLICE P0 P5 P4 6 0.40 0.00; SPLICE P4 P3 P1 10 0.75 0.05; SPLICE P1 P1 P2 14 0.75 0.00; LIMIT P4 18; MUTATE P3 0.03 0.17; DRIFT P0 P5 16 0.00; DRIFT P2 P0 3 0.00; GRAZE P3 0.12 0.04; SETTLE P3 0.04; PULSE P3 BRANCH 14 0.20; PULSE P4 FREE 10 0.06; SPLICE P4 P4 P5 10 0.25 0.10; SETTLE P2 0.30; LIMIT P1 18; SPLICE P3 P5 P1 10 0.75 0.10; DRIFT P2 P0 16 0.14; SPLICE P0 P3 P2 10 0.40 0.05; DRIFT P1 P4 8 0.00; SPLICE P4 P2 P3 20 0.75 0.05,36,flood,fore_reef,full_moon,17.054532,30.664452,37.499043,31.836505,9,9,5,4,1,2,1,2,long,mid,splice
